序号,户型-房间,户型-厅,户型-厨房,户型-卫生,建筑面积,朝向,装修,电梯,总楼层,所处层数,建筑类型,建筑结构,小区,经度,纬度,地址,建筑时间,价格（万）
80,3,2,1,2,117.38,南,毛坯,有,高,12,板楼,两梯四户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,490
81,3,2,1,1,89.74,南,精装,有,高,12,板楼,一梯两户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,388
82,2,1,1,1,90.54,南,其他,有,低,11,板楼,一梯三户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,365
83,2,2,1,1,92.99,南,精装,有,高,18,板楼,两梯四户,星辰园(公寓),121.236346,31.058065,梅家浜路1505弄,2004,395
84,1,1,1,1,57,南,简装,有,低,18,板楼,两梯四户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,270
85,1,1,1,1,64.79,南,简装,有,低,11,板楼,一梯四户,恒杰丁香花园,121.193758,31.050438,三新北路1333弄,2007,234
86,2,2,1,1,72.95,南,精装,有,低,22,板楼,两梯两户,万科梦想派,121.249212,31.067068,淡家浜街88弄,2014,316
87,2,2,1,1,89,南,简装,有,中,11,板楼,一梯两户,绿地诺丁山(公寓),121.192921,31.054567,文宇路88弄,2010,318
88,2,2,1,1,65.23,南,精装,有,高,11,板楼,一梯三户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,305
89,2,2,1,1,82.68,南,精装,有,高,11,板楼,一梯两户,绿地诺丁山(公寓),121.192921,31.054567,文宇路88弄,2010,316
90,2,2,1,1,90.42,南,简装,有,高,14,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,360
91,2,1,1,1,67.95,南 北,简装,有,高,20,塔楼,两梯十八户,龙湖好望山(公寓),121.231755,31.061914,"人民北路2908弄, 云清路41号",2012,285
92,4,2,1,3,190.11,南 北,毛坯,有,高,14,板楼,一梯两户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,550
93,3,2,1,2,134.4,南,精装,有,低,14,板楼,一梯两户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,588
94,2,1,1,1,65.24,南,精装,有,高,18,板楼,两梯四户,星辰园(公寓),121.236346,31.058065,梅家浜路1505弄,2004,325
95,3,2,1,1,84.48,南,精装,有,中,22,板楼,两梯两户,万科梦想派,121.249212,31.067068,淡家浜街88弄,2014,370
96,2,2,0,2,99.63,南,精装,有,高,17,板楼,两梯三户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,420
97,3,2,1,1,124,南 北,简装,有,中,14,板楼,一梯两户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,580
98,3,2,0,1,112.72,南,精装,有,中,14,板楼,一梯两户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,525
99,3,2,1,2,134.4,南,精装,有,低,14,板楼,一梯两户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,578
100,3,2,1,1,83.4,西南,精装,有,低,18,板楼,两梯三户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,348
101,3,1,1,1,112.72,南 北,其他,有,低,14,板楼,一梯两户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,520
102,3,2,1,2,123.12,南 北,精装,有,低,13,板楼,一梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,450
103,3,2,1,1,86,南 北,精装,有,高,22,板楼,两梯两户,万科梦想派,121.249212,31.067068,淡家浜街88弄,2014,375
104,3,2,1,2,138.91,南,精装,有,中,24,板楼,两梯三户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,410
105,2,2,1,2,116.37,南,精装,有,低,17,板楼,两梯三户,誉品谷水湾,121.232503,31.063333,龙马路185弄,2008,565
106,3,2,1,2,131.03,南,精装,无,中,6,板楼,一梯两户,文翔名苑(公寓),121.198601,31.052462,文翔路3088弄,2006,460
107,3,2,1,2,123.85,南,精装,有,低,17,板楼,两梯三户,誉品谷水湾,121.232503,31.063333,龙马路185弄,2008,580
108,1,2,1,1,63.91,南,其他,有,高,12,板楼,一梯三户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,300
109,4,1,1,2,131,南,精装,有,低,7,板楼,一梯两户,首创锦悦,121.22517,31.072295,"云恩路58弄, 云恩路59弄",2013,630
110,2,2,0,1,92.82,南,简装,有,中,11,板楼,一梯两户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,405
111,2,2,1,1,87.9,东南 南 北,简装,无,低,5,板楼,一梯两户,文翔名苑(公寓),121.198601,31.052462,文翔路3088弄,2006,262.7
112,1,1,1,1,59.83,南,精装,有,低,14,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,268
113,2,2,1,1,78.95,东南,精装,有,中,11,塔楼,两梯十一户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,308
114,1,1,1,1,59.7,南,简装,有,中,14,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,259
115,3,2,1,2,121,南,精装,有,中,14,板楼,一梯两户,上尚缘,121.190168,31.049744,文翔路3588弄,2010,470
116,2,1,2,2,114.38,南 北,精装,有,中,14,板楼,一梯两户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,370
117,2,2,1,1,76.24,南,精装,有,低,12,板楼,两梯三户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,325
118,3,2,1,2,170.9,南 北,毛坯,有,中,17,板楼,两梯两户,誉品谷水湾,121.232503,31.063333,龙马路185弄,2008,805
119,2,2,1,2,89.82,南 北,精装,无,低,6,板楼,一梯两户,文翔名苑(公寓),121.198601,31.052462,文翔路3088弄,2006,288
120,3,2,1,2,111,南 北,精装,有,低,21,板楼,两梯两户,万科梦想派,121.249212,31.067068,淡家浜街88弄,2014,510
121,3,2,1,1,89.25,南 北,精装,有,低,18,板楼,两梯三户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,362
122,2,2,1,1,90.14,南,精装,有,中,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,410
